Time,Channel A,Channel B,Channel C
(us),(V),(V),(V)

4.45999982,0.00000000,0.00000000,0.00000000
4.46399982,0.00000000,0.00000000,0.00000000
4.46799982,-0.01611713,0.00000000,0.00000000
4.47199982,0.00000000,0.00000000,0.00000000
4.47599982,0.00000000,0.00000000,0.00000000
4.47999982,0.00000000,0.01605561,0.00000000
4.48399982,0.00000000,0.00000000,0.00000000
4.48799982,0.00000000,0.00000000,0.00000000
4.49199982,0.00000000,0.00000000,0.00000000
4.49599982,0.00000000,0.00000000,0.00000000
4.49999982,-0.01611713,0.00000000,0.00000000
4.50399982,-0.01611713,0.00000000,0.00000000
4.50799982,0.00000000,0.00000000,0.00000000
4.51199982,0.00000000,0.00000000,0.00000000
4.51599982,0.00000000,0.00000000,0.00000000
4.51999982,-0.01611713,0.00000000,0.00000000
4.52399982,0.00000000,0.00000000,0.00000000
4.52799982,0.00000000,0.00000000,0.00000000
4.53199982,0.00000000,0.00000000,0.00000000
4.53599982,0.00000000,0.00000000,0.00000000
4.53999982,0.00000000,0.00000000,0.00000000
4.54399982,0.00000000,0.00000000,0.00000000
4.54799982,0.00000000,0.00000000,0.00000000
4.55199982,0.00000000,0.00000000,0.00000000
4.55599982,-0.01611713,0.00000000,0.00000000
4.55999982,-0.01611713,0.00000000,0.00000000
4.56399982,0.00000000,0.00000000,0.00000000
4.56799982,0.00000000,0.00000000,0.00000000
4.57199982,0.00000000,0.00000000,0.00000000
4.57599982,0.00000000,0.00000000,0.00000000
4.57999982,-0.01611713,0.00000000,0.00000000
4.58399982,0.00000000,0.00000000,0.00000000
4.58799982,0.00000000,0.00000000,0.00000000
4.59199982,0.00000000,0.00000000,0.00000000
4.59599981,0.00000000,0.00000000,0.00000000
4.59999981,0.00000000,0.00000000,0.00000000
4.60399981,0.00000000,0.01605561,0.00000000
4.60799981,0.00000000,0.00000000,0.00000000
4.61199981,0.00000000,0.00000000,0.00000000
4.61599981,-0.01611713,0.00000000,0.00000000
4.61999981,0.00000000,0.00000000,0.00000000
4.62399981,0.00000000,0.00000000,0.00000000
4.62799981,-0.01611713,0.00000000,0.00000000
4.63199981,0.00000000,0.00000000,0.01605561
4.63599981,0.00000000,0.01605561,0.00000000
4.63999981,0.00000000,0.00000000,0.00000000
4.64399981,0.00000000,0.00000000,0.00000000
4.64799981,0.00000000,0.00000000,0.00000000
4.65199981,0.00000000,0.00000000,0.00000000
4.65599981,0.00000000,0.00000000,0.00000000
4.65999981,-0.01611713,0.00000000,0.00000000
4.66399981,0.00000000,0.01605561,0.00000000
4.66799981,-0.01611713,0.00000000,0.00000000
4.67199981,0.00000000,0.00000000,0.00000000
4.67599981,0.00000000,0.00000000,0.00000000
4.67999981,0.00000000,0.00000000,0.00000000
4.68399981,0.00000000,0.00000000,0.00000000
4.68799981,0.00000000,0.00000000,0.00000000
